carpinus: carpinuses
carpobrotus: carpobrotuses
carpodacus: carpodacuses
carthamus: carthamuses
casmerodius: casmerodiuses
cassius: cassiuses
castanopsis: castanopsises
castanospermum: castanospermums
casuarius: casuariuses
catasetum: catasetums
catharanthus: catharanthuses
cathay: cathays
catoptrophorus: catoptrophoruses
catostomus: catostomuses
caucasus: caucasuses
caulophyllum: caulophyllums
cebuano: cebuanoes
cedrus: cedruses
celastrus: celastruses
celtis: celtises
cenchrus: cenchruses
centaurium: centauriums
centaurus: centauruses
centranthus: centranthuses
centrocercus: centrocercuses
centrolobium: centrolobiums
centropomus: centropomuses
centropristis: centropristises
centropus: centropuses
centunculus: centunculuses
cephalopterus: cephalopteruses
cephalotaxus: cephalotaxuses
cephalotus: cephalotuses
cepheus: cepheuses
cepphus: cepphuses
cerastium: cerastiums
ceratitis: ceratitises
ceratopetalum: ceratopetalums
ceratophyllum: ceratophyllums
ceratopteris: ceratopterises
ceratotherium: ceratotheriums
cerberus: cerberuses
cercidiphyllum: cercidiphyllums
cercidium: cercidiums
cercis: cercises
cercocebus: cercocebuses
cercopithecus: cercopithecuses
cereus: cereuses
cervus: cervuses
cestida: cestidae
cestrum: cestrums
cestum: cestums
cetorhinus: cetorhinuses
chablis: chablises
chaenopsis: chaenopsises
chaetodipterus: chaetodipteruses
chalcis: chalcises
chamaecyparis: chamaecyparises
chamaecytisus: chamaecytisuses
chamaeleo: chamaeleoes
chamaemelum: chamaemelums
chardonnay: chardonnays
charolais: charolaises
charon: chara
charybdis: charybdises
cheiranthus: cheiranthuses
chelidonium: chelidoniums
chemakum: chemakums
chenopodium: chenopodiums
cheremis: cheremises
chicago: chicagoes
chilomeniscus: chilomeniscuses
chilomycterus: chilomycteruses
chilopsis: chilopsises
chimakum: chimakums
chimariko: chimarikoes
chimborazo: chimborazoes
chimonanthus: chimonanthuses
chingpo: chingpoes
chionanthus: chionanthuses
chirocephalus: chirocephaluses
chironomus: chironomuses
chlamydosaurus: chlamydosauruses
chlamyphorus: chlamyphoruses
chloranthus: chloranthuses
chloris: chlorises
chlorococcum: chlorococcums
chlorophis: chlorophises
chlorophoneus: chlorophoneuses
choeronycteris: choeronycterises
choloepus: choloepuses
chondrus: chondruses
chordospartium: chordospartiums
choriotis: choriotises
